fecha	dataset	nulos	vmax_depth	vmin_child_weight	vnround	ganancia_promedio	tiempo_promedio	ganancias	
20161114 215522	abril_importantes	0	6	20	100	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	120	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	140	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	160	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	180	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	200	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	220	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	240	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	260	-43638333	1374.916	-43638333	-43638333	-43638333	-43638333	
20161114 215522	abril_importantes	0	6	20	280	-11826875	1374.916	-11560000	-12095833	-12276667	-11375000	
20161114 215522	abril_importantes	0	6	20	300	-72291.67	1374.916	-202500	-19166.67	76666.67	-144166.7	
20161114 215522	abril_importantes	0	6	20	320	877500	1374.916	880833.3	957500	945833.3	725833.3	
20161114 215522	abril_importantes	0	6	20	340	1268958	1374.916	1248333	1273333	1405000	1149167	
20161114 215522	abril_importantes	0	6	20	360	1431250	1374.916	1296667	1550833	1595000	1282500	
20161114 215522	abril_importantes	0	6	20	380	1471875	1374.916	1350833	1571667	1618333	1346667	
20161114 215522	abril_importantes	0	6	20	400	1522917	1374.916	1370000	1595833	1656667	1469167	
20161114 215522	abril_importantes	0	6	20	420	1553750	1374.916	1458333	1690000	1557500	1509167	
20161114 215522	abril_importantes	0	6	20	440	1584375	1374.916	1469167	1742500	1590000	1535833	
20161114 215522	abril_importantes	0	6	20	460	1595208	1374.916	1435833	1759167	1618333	1567500	
20161114 215522	abril_importantes	0	6	20	480	1592500	1374.916	1462500	1738333	1596667	1572500	
20161114 215522	abril_importantes	0	6	20	500	1567917	1374.916	1435000	1742500	1491667	1602500	
20161114 215522	abril_importantes	0	6	20	520	1557292	1374.916	1455833	1659167	1509167	1605000	
20161114 215522	abril_importantes	0	6	20	540	1537917	1374.916	1445833	1655000	1420000	1630833	
20161114 215522	abril_importantes	0	6	20	560	1544167	1374.916	1458333	1650000	1430833	1637500	
20161114 215522	abril_importantes	0	6	20	580	1539375	1374.916	1444167	1632500	1436667	1644167	
20161114 215522	abril_importantes	0	6	20	600	1527917	1374.916	1459167	1589167	1441667	1621667	
20161114 215522	abril_importantes	0	6	20	620	1527083	1374.916	1464167	1591667	1450833	1601667	
20161114 215522	abril_importantes	0	6	20	640	1505625	1374.916	1445000	1548333	1427500	1601667	
20161114 215522	abril_importantes	0	6	20	660	1498333	1374.916	1429167	1545000	1410000	1609167	
20161114 215522	abril_importantes	0	6	20	680	1494792	1374.916	1425000	1546667	1385833	1621667	
20161114 215522	abril_importantes	0	6	20	700	1497292	1374.916	1400833	1576667	1388333	1623333	
20161114 215522	abril_importantes	0	6	20	720	1498958	1374.916	1407500	1575000	1390833	1622500	
20161114 215522	abril_importantes	0	6	20	740	1507083	1374.916	1408333	1575833	1386667	1657500	
20161114 215522	abril_importantes	0	6	20	760	1508333	1374.916	1383333	1605000	1386667	1658333	
20161114 215522	abril_importantes	0	6	20	780	1515417	1374.916	1385833	1602500	1416667	1656667	
20161114 215522	abril_importantes	0	6	20	800	1493958	1374.916	1358333	1574167	1386667	1656667	
20161114 215522	abril_importantes	0	6	20	820	1503542	1374.916	1412500	1577500	1366667	1657500	
20161114 215522	abril_importantes	0	6	20	840	1516875	1374.916	1386667	1606667	1419167	1655000	
20161114 215522	abril_importantes	0	6	20	860	1495833	1374.916	1384167	1578333	1392500	1628333	
20161114 215522	abril_importantes	0	6	20	880	1500833	1374.916	1410833	1604167	1358333	1630000	
20161114 215522	abril_importantes	0	6	20	900	1495833	1374.916	1410000	1580000	1361667	1631667	
20161114 215522	abril_importantes	0	6	20	920	1488958	1374.916	1406667	1604167	1360833	1584167	
20161114 215522	abril_importantes	0	6	20	940	1476667	1374.916	1380000	1603333	1365000	1558333	
20161114 215522	abril_importantes	0	6	20	960	1475625	1374.916	1381667	1602500	1359167	1559167	
