fecha	archivo	algoritmo	cp	minsplit	minbucket	maxdepth	ganancia_promedio	tiempo_promedio	ganancias			
20160919 013923	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	1000	5	20	0	14.49922	0			
20160919 013929	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	2	5	0	5.370491	0			
20160919 013939	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	2	10	0	9.989823	0			
20160919 013954	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	2	20	0	14.37588	0			
20160919 014000	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	5	5	0	5.398408	0			
20160919 014009	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	5	10	0	9.041599	0			
20160919 014024	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.005	3000	5	20	0	14.18118	0			
20160919 014106	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	2	5	598333.3	41.81141	598333.3			
20160919 014249	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	2	10	598333.3	101.6887	598333.3			
20160919 014509	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	2	20	598333.3	139.1951	598333.3			
20160919 014601	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	5	5	598333.3	51.29932	598333.3			
20160919 014741	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	5	10	598333.3	99.53604	598333.3			
20160919 015001	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	20	5	20	598333.3	139.8596	598333.3			
20160919 015053	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	2	5	598333.3	51.85008	598333.3			
20160919 015236	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	2	10	598333.3	101.5608	598333.3			
20160919 015456	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	2	20	598333.3	139.6222	598333.3			
20160919 015548	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	5	5	598333.3	50.99831	598333.3			
20160919 015727	/home/macramole/Desktop/dm/2do_cuatri/finanzas/producto_premium_201604.txt	rpart	0.01	200	5	10	598333.3	98.27881	598333.3			
